Telemetry GUID (Device+ParamName),"Device 
(CompClass)",Metric (ParamName),Description,"Category
GPU-PCI-ERR-CTR-L0-TO-RECOVERY,GPU,PCI-ERR-CTR-L0-TO-RECOVERY,NVLink data CRC Error Count,Erros,Uint64,"SMBPBI: (0x1A, 06h, [<link_index>,0xFF = Aggregate Count])",NVML_FI_DEV_NVLINK_CRC_DATA_ERROR_COUNT_TOTAL,NA,"DCGM_FI_DEV_NVLINK_CRC_DATA_ERROR_COUNT_L[0-17]:[410,411,412,413,414,415,457,458,459,460,461,462,416,417,418,484,485,486]","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{DataCRCCount}}}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{DataCRCCount}}}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{DataCRCCount}}}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorPortMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorPortMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.PCIe.PCIeECC L0ToRecoveryCount,,,,,Yes,NA,NA,Yes,NA,NA,NA,NA,,NA,NA,NA,NA,Yes,NA,Yes,NA,,Available,No,No Impact,1 Hr,,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{DataCRCCount}}}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/Ports/$PortId/Metrics
{Oem{Nvidia{NVLinkErrors{DataCRCCount}}}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}, PortId: {PortProtocol: NVLink, Id_contains: NVLink}}",GPU[NVLink],,Y,ES,,,,L0,L1,RF:DCGM
GPU-PCI-ERR-CTR-NAK-RECVD,GPU,PCI-ERR-CTR-NAK-RECVD,"information about factors that are reducing the frequency of clocks.
If all throttle reasons are returned as ""Not Active"" it means that clocks are running as high as possible.",Erros,Uint64,"SMBPBI: (0x1B ,[0x05], unused) | NSM: (0x3, 0x44)",nvmlDeviceGetCurrentClocksThrottleReasons,nvidia_smi_log.gpu.clocks_event_reasons,DCGM_FI_DEV_CLOCKS_EVENT_REASONS:112,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{ThrottleReasons}}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{ThrottleReasons}}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{ThrottleReasons}}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.PCIe.PCIeECC NAKReceivedCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,Yes,No Impact,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{Oem{Nvidia{ThrottleReasons}}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{Oem{Nvidia{ThrottleReasons}}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",Not Supported
GPU-PCI-ERR-CTR-NAK-SENT,GPU,PCI-ERR-CTR-NAK-SENT,Log entries from this device,Erros,Uint64,"SMBPBI: (0x1Dh, [0x00], Pointer to scratch location where DEM will be written) | NSM: (0x3, 0x01)",/var/log/messages,/var/log/messages,/var/log/messages,"2021.1c
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}/LogServices/XID/Entries
{Members}","2021.1c
/redfish/v1/Chassis/HGX_GPU_{InstanceId}/LogServices/XID/Entries
{Members}","2021.1c
/redfish/v1/Chassis/GPU_{InstanceId}/LogServices/XID/Entries
{Members}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.PCIe.PCIeECC NAKSentCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,No Impact,1 Hr,,"2021.1c
/redfish/v1/Chassis/{GPU_CHAS_NAME}_{InstanceId}/LogServices/XID/Entries
{Members}","2021.1c
/redfish/v1/Chassis/$ChassisId/LogServices/XID/Entries
{Members}","{ChassisId: {Id_contains: {anyOf: [GPU], not: [RoT]}}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",NA
GPU-PCI-ERR-CTR-NON-FATAL,GPU,PCI-ERR-CTR-NON-FATAL,Row-remapping combined count,Erros,Uint64,"SMBPBI: (0x20, [0x00], [0x00]) | NSM: (0x3, 0x7E)",nvmlDeviceGetRemappedRows,NA,NA,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.PCIe.PCIeECC nonfeCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,No,Disabled,1 Hr,,NA,NA,,,,Y,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-PCI-ERR-CTR-REPLAY-ROLLOVER,GPU,PCI-ERR-CTR-REPLAY-ROLLOVER,ECC error count of correctable errors,Erros,Uint64,"| NSM: (0x3, 0x7D)",nvmlDeviceGetMemoryErrorCounter,nvidia_smi_log.gpu.ecc_errors.aggregate.dram_correctable,DCGM_FI_DEV_ECC_SBE_AGG_TOTAL:312,"2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_SXM_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{LifeTime{CorrectableECCErrorCount}}","2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{LifeTime{CorrectableECCErrorCount}}","2021.1c
/redfish/v1/Systems/System_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{LifeTime{CorrectableECCErrorCount}}",/redfish/v1/TelemetryService/MetricReports/HGX_MemoryMetrics_0,/redfish/v1/TelemetryService/MetricReports/MemoryMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.PCIe.PCIeECC ReplayRolloverCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,Disabled,1 Hr,30,"2021.1c
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Memory/{GPU_MEM_NAME}_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{LifeTime{CorrectableECCErrorCount}}","2021.1c
/redfish/v1/Systems/$SystemId/Memory/$MemoryId/MemoryMetrics
{LifeTime{CorrectableECCErrorCount}}","{SystemId:{SystemType: Physical}, MemoryId: {MemoryDeviceType: HBM}}",,,Y,ES,,,,"L0, R1","L1, R1",RF:DCGM
GPU-ECC-ERR-CTR-CE-CACHE,GPU,ECC-ERR-CTR-CE-CACHE,ECC error count of uncorrectable errors,Erros,Uint64,"SMBPBI: (0x1E, [0x01], [0x01]) | NSM: (0x3, 0x7E)",nvmlDeviceGetMemoryErrorCounter,nvidia_smi_log.gpu.ecc_errors.aggregate.dram_uncorrectable,DCGM_FI_DEV_ECC_DBE_AGG_TOTAL:313,"2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_SXM_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{LifeTime{UncorrectableECCErrorCount}}","2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{LifeTime{UncorrectableECCErrorCount}}","2021.1c
/redfish/v1/Systems/System_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{LifeTime{UncorrectableECCErrorCount}}",/redfish/v1/TelemetryService/MetricReports/HGX_MemoryMetrics_0,/redfish/v1/TelemetryService/MetricReports/MemoryMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.Memory.MemoryECC ceCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,Disabled,1 Hr,30,"2021.1c
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Memory/{GPU_MEM_NAME}_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{LifeTime{UncorrectableECCErrorCount}}","2021.1c
/redfish/v1/Systems/$SystemId/Memory/$MemoryId/MemoryMetrics
{LifeTime{UncorrectableECCErrorCount}}","{SystemId:{SystemType: Physical}, MemoryId: {MemoryDeviceType: HBM}}",,,Y,ES,,,,"L0, R1","L1, R1",RF:DCGM
GPU-ECC-ERR-CTR-UE-CACHE,GPU,ECC-ERR-CTR-UE-CACHE,Row-remapping count due to uncorrectable error,Erros,Uint64,"SMBPBI: (0x20, [0x00], [0x01]) |  NSM: (0x03, 0x7E)",nvmlDeviceGetRemappedRows,nvidia_smi_log.gpu.remapped_rows.remapped_row_unc,DCGM_FI_DEV_UNCORRECTABLE_REMAPPED_ROWS:393,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_SXM_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{Oem{Nvidia{RowRemapping{UncorrectableRowRemappingCount}}}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{Oem{Nvidia{RowRemapping{UncorrectableRowRemappingCount}}}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{Oem{Nvidia{RowRemapping{UncorrectableRowRemappingCount}}}}",/redfish/v1/TelemetryService/MetricReports/HGX_MemoryMetrics_0,/redfish/v1/TelemetryService/MetricReports/MemoryMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.Memory.MemoryECC ueCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,Disabled,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Memory/{GPU_MEM_NAME}_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{Oem{Nvidia{RowRemapping{UncorrectableRowRemappingCount}}}}","2021.1d
/redfish/v1/Systems/$SystemId/Memory/$MemoryId/MemoryMetrics
{Oem{Nvidia{RowRemapping{UncorrectableRowRemappingCount}}}}","{SystemId:{SystemType: Physical}, MemoryId: {MemoryDeviceType: HBM}}",,,Y,ES,,,,"L0, R1","L1, R1",RF:DCGM
GPU-PCI-ERR-CTR-REPLAY,GPU,PCI-ERR-CTR-REPLAY,Row-remapping count due to correctable errors,Erros,Uint64,"SMBPBI: (0x20, [0x00], [0x02]) |  NSM: (0x03, 0x07E)",nvmlDeviceGetRemappedRows,nvidia_smi_log.gpu.remapped_rows.remapped_row_corr,DCGM_FI_DEV_CORRECTABLE_REMAPPED_ROWS:394,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_SXM_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{Oem{Nvidia{RowRemapping{CorrectableRowRemappingCount}}}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{Oem{Nvidia{RowRemapping{CorrectableRowRemappingCount}}}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{Oem{Nvidia{RowRemapping{CorrectableRowRemappingCount}}}}",/redfish/v1/TelemetryService/MetricReports/HGX_MemoryMetrics_0,/redfish/v1/TelemetryService/MetricReports/MemoryMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.PCIe.PCIeECC ReplayCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,Disabled,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Memory/{GPU_MEM_NAME}_{InstanceId}_DRAM_{InstanceId}/MemoryMetrics
{Oem{Nvidia{RowRemapping{CorrectableRowRemappingCount}}}}","2021.1d
/redfish/v1/Systems/$SystemId/Memory/$MemoryId/MemoryMetrics
{Oem{Nvidia{RowRemapping{CorrectableRowRemappingCount}}}}","{SystemId:{SystemType: Physical}, MemoryId: {MemoryDeviceType: HBM}}",,,Y,ES,,,,"L0, R1","L1, R1",RF:DCGM
GPU-THROTTLE-DURATION-SW-VIOLATION,GPU,THROTTLE-DURATION-SW-VIOLATION,"The flag indicates whether row remapping has failed in the past.
Any of the following events will trigger a row-remapping failure flag:

A remapping attempt for an uncorrectable memory error on a bank that already has 8 uncorrectable error rows remapped
A remapping attempt for an uncorrectable memory error on a row that was already remapped (which can occur with less than 8 total remaps to the same bank).
After 512 total remappings for an uncorrectable memory error have occurred.",Erros,string,"SMBPBI: (0x20, [0x01], [0x00]) [0:0] | NSM: (0x3, 0x7F)",nvmlDeviceGetRemappedRows,nvidia_smi_log.gpu.remapped_rows.remapped_row_failure,DCGM_FI_DEV_ROW_REMAP_FAILURE:395,"2023.2
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_SXM_{InstanceId}_DRAM_{InstanceId}
{Oem{Nvidia{RowRemappingFailed}}","2023.2
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}
{Oem{Nvidia{RowRemappingFailed}}","2023.2
/redfish/v1/Systems/System_{InstanceId}/Memory/GPU_{InstanceId}_DRAM_{InstanceId}
{Oem{Nvidia{RowRemappingFailed}}",/redfish/v1/TelemetryService/MetricReports/HGX_MemoryMetrics_0,/redfish/v1/TelemetryService/MetricReports/MemoryMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.State.ProcessorPerformance GlobalSoftwareViolationThrottleDuration,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,No Impact,1 Hr,30,"2023.2
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Memory/{GPU_MEM_NAME}_{InstanceId}_DRAM_{InstanceId}
{Oem{Nvidia{RowRemappingFailed}}","2023.2
/redfish/v1/Systems/$SystemId/Memory/$MemoryId
{Oem{Nvidia{RowRemappingFailed}}","{SystemId:{SystemType: Physical}, MemoryId: {MemoryDeviceType: HBM}}",,,Y,ES,,,,"L0, R1","L1, R1",RF:DCGM
GPU-THROTTLE-DURATION-THERMAL,GPU,THROTTLE-DURATION-THERMAL,"The following errors get reported as correctable errors:
- Receiver error
- Bad TLP
- Bad DLLP
- Replay Rollover
- Replay timeout
- Advisory non-fatal error",Erros,string,"SMBPBI: (0x21, [0x00], Unused); extended data [15:0] | NSM: (0x2, 0x4)",NA,NA,NA,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{PCIeErrors{CorrectableErrorCount}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{CorrectableErrorCount}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{CorrectableErrorCount}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.State.ProcessorPerformance ThermalLimitThrottleDuration,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,No Impact,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{PCIeErrors{CorrectableErrorCount}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{PCIeErrors{CorrectableErrorCount}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",NA
GPU-PCI-RETRIES,GPU,PCI-RETRIES,"Following errors get reported as fatal depending on the severity in AER registers:
-Data link layer protocol error
-Received poisoned TLP
-Flow control protocol error
 -Completion timeout
 -Completion abort
 -Unexpected completion
 -Receiver overflow
 -Malformed TLP
 -ECRC error
 -Unsupported request",Erros,Uint64,"SMBPBI: (0x21, [0x00], Unused) [23:16] | NSM: (0x2, 0x4)",NA,NA,NA,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{PCIeErrors{FatalErrorCount}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{FatalErrorCount}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{FatalErrorCount}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.PCIe.PCIeECC ReplayCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,No Impact,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{PCIeErrors{FatalErrorCount}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{PCIeErrors{FatalErrorCount}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",NA
GPU-EffectiveBitErrorRate,GPU,EffectiveBitErrorRate,This count reflects the number of times the link went into the recovery state from the L0 state.,Erros,Uint64,"SMBPBI: (0x21, [0x01], Unused)  | NSM: (0x2, 0x4)",NA,NA,NA,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{PCIeErrors{L0ToRecoveryCount}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{L0ToRecoveryCount}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{L0ToRecoveryCount}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid/Ports/NVLink_[gpu_nvlinkid] xyz.openbmc_project.Metrics.IBPort BitErrorRate,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,No Impact,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{PCIeErrors{L0ToRecoveryCount}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{PCIeErrors{L0ToRecoveryCount}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",NA
GPU-LinkDownedCounter,GPU,LinkDownedCounter,"This count reflects the number of NAKS issued on the PCIe link by
the host root complex. A NAK is issued by the host root complex
when it detects that a TLP from the GPU side was missed. This
could be because the GPU did not transmit it, or because the host
root complex receiver could not properly decode the packet.",Erros,Uint64,"SMBPBI: (0x21, [0x02], Unused) [31:16]  | NSM: (0x2, 0x4)",NA,NA,NA,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{PCIeErrors{NAKReceivedCount}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{NAKReceivedCount}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{NAKReceivedCount}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid/Ports/NVLink_[gpu_nvlinkid] xyz.openbmc_project.Metrics.IBPort LinkDownCount,"""nsmd_HGX_ProcessorPortMetrics_0""",NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,No Impact,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{PCIeErrors{NAKReceivedCount}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{PCIeErrors{NAKReceivedCount}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",NA
GPU-PORT-MALFORMED-PKTS,GPU,PORT-MALFORMED-PKTS,"This count reflects the number of NAKS issued on the PCIe link by
the GPU. A NAK is issued by the GPU when it detects that a TLP
from the host root complex was missed. This could be because the
host root complex did not transmit it, or because the GPU receiver",Erros,Uint64,"SMBPBI: (0x21, [0x02], Unused); extended data  | NSM: (0x2, 0x4)",NA,NA,NA,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{PCIeErrors{NAKSentCount}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{NAKSentCount}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{NAKSentCount}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid/Ports/NVLink_[gpu_nvlinkid] xyz.openbmc_project.Metrics.IBPort MalformedPkts,"""nsmd_HGX_ProcessorPortMetrics_0""",NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,No Impact,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{PCIeErrors{NAKSentCount}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{PCIeErrors{NAKSentCount}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",NA
GPU-PORT-RCV-ERRORS,GPU,PORT-RCV-ERRORS,"The following errors get reported as non-fatal depending on the severity in AER registers:

 - Data link layer protocol error
 -Received poisoned TLP
 -Flow control protocol error
 -Completion timeout
 -Completion abort
 -Unexpected completion
 -Receiver overflow
 -Malformed TLP
 -ECRC error
 -Unsupported request",Erros,Uint64,"SMBPBI: (0x21, [0x00], Unused); [15:8] | NSM: (0x2, 0x4)",NA,NA,NA,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/ProcessorMetrics
{PCIeErrors{NonFatalErrorCount}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{NonFatalErrorCount}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/ProcessorMetrics
{PCIeErrors{NonFatalErrorCount}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid/Ports/NVLink_[gpu_nvlinkid] xyz.openbmc_project.Metrics.IBPort RXErrors,"""nsmd_HGX_ProcessorPortMetrics_0""",NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,No Impact,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/ProcessorMetrics
{PCIeErrors{NonFatalErrorCount}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/ProcessorMetrics
{PCIeErrors{NonFatalErrorCount}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",NA
